column_name,dataset,meaning,data_type,allowed_values,synthetic_demo,used_in_training,used_in_dashboard
booking_id,or_bookings,Unique OR booking identifier,string,OR-XXXX,True,False,True
room,or_bookings,Operating room name,string,OR-1 to OR-5,True,False,True
doctor,or_bookings,Lead surgeon name,string,free text,True,False,True
department,or_bookings,Surgical department,string,Surgery/ER/ICU,True,False,True
booking_date,or_bookings,Booking date - alias of date column,string,ISO date,True,False,False
date,or_bookings,Procedure date (YYYY-MM-DD),string,ISO date,True,False,True
time_slot,or_bookings,Procedure time slot,string,HH:MM-HH:MM,True,False,True
procedure,or_bookings,Procedure name,string,free text,True,False,True
procedure_type,or_bookings,Procedure category,string,Elective/Emergency/Urgent,True,False,True
procedure_duration_minutes,or_bookings,Expected duration in minutes,int,30-240,True,False,False
post_op_bed_required,or_bookings,Whether a post-op bed is needed,bool,True/False,True,False,False
status,or_bookings,Booking status,string,Scheduled/Completed/Cancelled/In Progress,True,False,True
notes,or_bookings,Free-text notes,string,free text,True,False,False
patient_id,patient_tracking,Unique patient identifier (anonymized),string,PAT-XXXX,True,False,True
patient_name_or_anonymized_id,patient_tracking,Anonymized name label,string,Patient-XXXX,True,False,True
national_id_or_card_id_optional,patient_tracking,National ID - always null for privacy,float,null only,True,False,False
entry_datetime,patient_tracking,Datetime of hospital entry,string,ISO datetime,True,False,True
entry_method,patient_tracking,How patient entered hospital,string,Walk-in/Ambulance/Referral/Transfer,True,False,True
department,patient_tracking,Department patient was triaged to,string,ER/ICU/General Ward/Surgery/Radiology,True,False,True
assigned_bed_id,patient_tracking,Bed assigned (null if waiting),string,BED-XXXX or null,True,False,True
admission_status,patient_tracking,Admission outcome,string,Admitted/Waiting/Discharged/Transferred,True,False,True
length_of_stay_hours,patient_tracking,Hours spent in hospital,int,1-120,True,False,False
discharge_datetime,patient_tracking,Datetime of discharge (null if still admitted),string,ISO datetime or null,True,False,True
payment_status,patient_tracking,Payment state,string,Paid/Pending/Insurance/Exempt,True,False,False
current_status,patient_tracking,Current patient status,string,Active/Discharged/Transferred,True,False,True
notes,patient_tracking,Free-text clinical notes,string,free text,True,False,False
department,department_status,Department name,string,ER/ICU/General Ward/Surgery/Radiology,True,False,True
current_patients,department_status,Patients present now,int,>=0,True,False,True
occupied_beds,department_status,Beds currently occupied,int,>=0,True,False,True
available_beds,department_status,Beds currently free,int,>=0,True,False,True
total_beds,department_status,Licensed bed count,int,20-130,True,False,True
occupancy_rate,department_status,Fraction occupied (occupied/total),float,0.0-1.0,True,False,True
needed_beds,department_status,Model-recommended beds,int,>=0,True,False,True
bed_shortage,department_status,Beds below needed (0 if surplus),int,>=0,True,False,True
available_doctors,department_status,Doctors on duty in this department,int,>=0,True,False,True
needed_doctors,department_status,Doctors required per patient ratio,int,>=0,True,False,True
doctor_shortage,department_status,Doctors below needed (0 if surplus),int,>=0,True,False,True
available_nurses,department_status,Nurses on duty in this department,int,>=0,True,False,True
needed_nurses,department_status,Nurses required per patient ratio,int,>=0,True,False,True
nurse_shortage,department_status,Nurses below needed (0 if surplus),int,>=0,True,False,True
department_status,department_status,Status label,string,Normal/Under Pressure/Critical,True,False,True
pressure_level,department_status,Pressure tier,string,Low/Medium/High/Critical,True,False,True
scenario_id,what_if_scenarios,Unique scenario ID,string,WI-001 to WI-042,True,False,True
scenario_name,what_if_scenarios,Human-readable scenario name,string,free text,True,False,True
scenario_category,what_if_scenarios,Category of scenario,string,Mass Casualty/Epidemic/Staffing/Seasonal/Weather/Operational,True,False,True
department,what_if_scenarios,Primarily affected department,string,ER/ICU/General Ward/All Departments,True,False,True
time_window,what_if_scenarios,Simulation time window,string,e.g. 6h/12h/24h/72h,True,False,True
demand_multiplier,what_if_scenarios,Multiplier applied to demand,float,0.5-3.0,True,False,True
arrival_increase_percent,what_if_scenarios,Percent increase in patient arrivals,int,0-150,True,False,True
bed_capacity_change_percent,what_if_scenarios,Percent change in bed availability,int,-50 to +30,True,False,True
doctor_availability_change_percent,what_if_scenarios,Percent change in doctor availability,int,-50 to +20,True,False,True
nurse_availability_change_percent,what_if_scenarios,Percent change in nurse availability,int,-50 to +20,True,False,True
or_booking_change_percent,what_if_scenarios,Percent change in OR bookings,int,-100 to +50,True,False,True
appointment_change_percent,what_if_scenarios,Percent change in appointments,int,-100 to +50,True,False,True
discharge_delay_hours,what_if_scenarios,Additional hours of discharge delay,int,0-12,True,False,True
severity_level,what_if_scenarios,Scenario severity,string,Low/Medium/High/Critical,True,False,True
probability_level,what_if_scenarios,Likelihood of this scenario occurring,string,Low/Medium/High,True,False,True
operational_risk,what_if_scenarios,Overall operational risk rating,string,Low/Medium/High/Critical,True,False,True
affected_resources,what_if_scenarios,Resources impacted by this scenario,string,free text,True,False,True
expected_system_response,what_if_scenarios,Expected system behaviour under this scenario,string,free text,True,False,True
recommended_action,what_if_scenarios,Suggested operational action,string,free text,True,False,True
escalation_required,what_if_scenarios,Whether escalation to management is needed,string,Yes/No,True,False,True
notes,what_if_scenarios,Free-text notes,string,free text,True,False,False
username,users (login accounts),Login username used for authentication,string,e.g. admin1/stf-0001,True,False,True
password,users (login accounts),Plain-text password in CSV (bcrypt-hashed in DB),string,123456 (demo),True,False,False
name,users (login accounts),Display name shown in dashboard,string,free text,True,False,True
role,users (login accounts),Access role determining dashboard tab visibility,string,admin/doctor/nurse,True,False,True
department,users (login accounts),Primary department for role-filtered views,string,ER/ICU/General Ward/Surgery/Radiology/Management,True,False,True
